sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
4454,INE663A01033,Y,SPLPETRO,500405,SPLPETRO,Supreme Petrochem Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4455,INE0R0M01014,Y,,544738,SPML,SPECIALITY MEDICINES LIMITED,BSE only,BSE Equity,,M,Active
4456,INE937A01023,Y,SPMLINFRA,500402,SPMLINFRA,SPML Infra Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4457,INE885H01029,Y,SPORTKING,539221,SPORTKING,Sportking India Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4458,INE0QR801013,Y,SPPPOLY,,,SPP Polymer Limited,NSE only,NSE SME (Emerge),SM,,
4459,INE537U01037,Y,,540079,SPRAYKING,Sprayking Limited,BSE only,BSE Equity,,B,Active
4460,INE179O01031,Y,,531205,SPRIGHT,SPRIGHT AGRO LIMITED,BSE only,BSE Equity,,X,Active
4461,INE0JW501011,Y,SPRL,,,Sp Refractories Limited,NSE only,NSE SME (Emerge),SM,,
4462,INE318K01025,Y,,533110,SPSL,Shree Precoated Steels Limited,BSE only,BSE Equity,,X,Active
4463,INE233P01017,Y,,519238,SPTRSHI,Saptarishi Agro Industries Ltd,BSE only,BSE Equity,,X,Active
4464,INE19QH01010,Y,SPUNWEB,,,Spunweb Nonwoven Limited,NSE only,NSE SME (Emerge),SM,,
4465,INE177E01010,Y,,512221,SPVGLOBAL,SPV GLOBAL TRADING LIMITED,BSE only,BSE Equity,,XT,Active
4466,INE777G01012,Y,,531359,SRAMSET,Shriram Asset Management Co.Ltd.,BSE only,BSE Equity,,X,Active
4467,INE01NE01012,Y,SRD,542232,SRD,Shankar Lal Rampal Dye-Chem Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4468,INE377C01010,Y,,514248,SRECR,Sree chem Resins Ltd,BSE only,BSE Equity,,P,Active
4469,INE099F01013,Y,SREEL,535601,SREEL,Sreeleathers Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4470,INE606K01049,Y,,539217,SRESTHA,Srestha Finvest Limited,BSE only,BSE Equity,,X,Active
4471,INE647A01010,Y,SRF,503806,SRF,SRF Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4472,INE326P01019,Y,,536710,SRGFFL,SRG FINGROW FINANCE LIMITED,BSE only,BSE Equity,,M,Active
4473,INE559N01010,Y,SRGHFL,534680,SRGHFL,SRG Housing Finance Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4474,INE917H01012,Y,SRHHYPOLTD,532842,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
